"","Age","Sex","Grade","HGT","WGT","HowDoYouDescribeYourWGT","WhatAreYouTrying2DoAbtWGT","DidYouFastToLoseWGTPast30","DidYouTakePillsToLoseWGTPast30","DidYouVomitToLoseWGTPast30","PCTWhoDescribeThemselvesOWGT","PCTWhoAreTrying2LoseWGT","PCTWhoFastedPast30Days","PCTWhoTookPillsPast30Days","PCTWhoVomitedPast30Days","PCTWhoAreOWGT","RaceEth","PCTWhoAreOBESE","PCTAtRisk4OWGT"
"79","17 years old","Female","12th grade",1.73,63.5,"Slightly overweight","Lose weight","No","Yes","Yes",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"80","17 years old","Male","12th grade",1.75,68.04,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Multiple - Non-Hispanic",NA,NA
"81","18 years old or older","Female","12th grade",1.55,63.5,"About the right weight","Lose weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"82","16 years old","Female","9th grade",1.57,68.49,"Very overweight","Lose weight","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"83","15 years old","Male","9th grade",1.88,78.93,"About the right weight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Asian",NA,NA
"84","15 years old","Male","9th grade",1.75,61.69,"Slightly underweight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"85","15 years old","Female","9th grade",1.65,70.31,"About the right weight","Lose weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"86","15 years old","Male","9th grade",1.73,90.72,"Very overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"87","15 years old","Female","9th grade",1.7,63.5,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"88","14 years old","Female","9th grade",1.68,53.52,"Slightly underweight","Stay the same weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"89","14 years old","Female","9th grade",1.75,65.77,"About the right weight","Lose weight","Yes","Yes","No",NA,NA,NA,NA,NA,NA,"Multiple - Non-Hispanic",NA,NA
"90","15 years old","Female","9th grade",1.55,49.9,"Slightly underweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"91","14 years old","Female","9th grade",1.68,97.98,"Very overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"92","14 years old","Female","9th grade",1.7,61.24,"About the right weight","Lose weight","No","Yes","Yes",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"93","14 years old","Female","9th grade",1.65,76.66,"Slightly overweight","Lose weight","No","Yes","No",NA,NA,NA,NA,NA,NA,"Native Hawaiian/other PI",NA,NA
"94","16 years old","Female","12th grade",1.6,57.15,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Asian",NA,NA
"95","17 years old","Male","11th grade",1.8,74.84,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"96","17 years old","Female","11th grade",1.6,58.97,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"97","17 years old","Male","11th grade",1.78,72.58,"About the right weight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"98","17 years old","Female","11th grade",1.7,63.5,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"99","16 years old","Female","11th grade",1.63,65.77,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"100","16 years old","Male","11th grade",1.75,79.83,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"101","16 years old","Female","11th grade",1.6,52.62,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"102","17 years old","Male","11th grade",1.93,86.18,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"103","17 years old","Female","11th grade",1.73,51.26,"Slightly underweight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"104","17 years old","Male","11th grade",1.93,81.65,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"105","17 years old","Male","11th grade",1.83,85.73,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"106","17 years old","Female","11th grade",1.68,100.7,"Very overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"107","18 years old or older","Male","12th grade",1.83,77.57,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"108","17 years old","Female","11th grade",1.6,49.9,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"109","17 years old","Female","11th grade",1.7,70.31,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"110","18 years old or older","Male","12th grade",1.83,78.47,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"111","16 years old","Female","11th grade",1.63,56.7,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"112","16 years old","Female","10th grade",1.65,52.16,"About the right weight","Lose weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Native Hawaiian/other PI",NA,NA
"113","16 years old","Male","10th grade",1.78,70.31,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"114","15 years old","Female","10th grade",1.63,63.5,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"115","16 years old","Male","9th grade",1.75,65.77,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"116","17 years old","Female","11th grade",1.57,72.12,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"117","14 years old","Male","9th grade",1.73,95.26,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"118","18 years old or older","Female","12th grade",1.65,88.45,"Slightly overweight","Lose weight","Yes","Yes","No",NA,NA,NA,NA,NA,NA,"Multiple - Non-Hispanic",NA,NA
"119","16 years old","Female","12th grade",1.52,72.58,"Very overweight","Lose weight","No","Yes","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"120","18 years old or older","Female","12th grade",1.63,56.7,"About the right weight","Lose weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"121","16 years old","Female","12th grade",1.63,72.58,"Slightly overweight","Lose weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"122","18 years old or older","Female","12th grade",1.7,58.97,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"123","18 years old or older","Female","12th grade",1.63,60.33,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"124","18 years old or older","Male","12th grade",1.8,77.11,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"125","18 years old or older","Female","12th grade",1.55,63.5,"Slightly overweight","Lose weight","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"126","17 years old","Female","12th grade",1.65,75.75,"Slightly overweight","Lose weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"127","17 years old","Female","12th grade",1.75,54.43,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"128","16 years old","Female","10th grade",1.55,47.17,"Slightly underweight","Lose weight","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"129","16 years old","Male","10th grade",1.78,74.84,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"130","15 years old","Male","10th grade",1.91,68.04,"Slightly underweight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"131","17 years old","Male","12th grade",1.85,77.11,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"132","18 years old or older","Male","12th grade",1.83,68.95,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"133","18 years old or older","Female","12th grade",1.57,63.5,"Slightly overweight","Lose weight","No","Yes","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"134","18 years old or older","Male","12th grade",1.68,61.24,"About the right weight","Not trying to do anything","Yes","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"135","17 years old","Male","12th grade",1.85,108.86,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"136","17 years old","Male","12th grade",1.8,79.38,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"137","17 years old","Male","12th grade",1.83,79.38,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"138","18 years old or older","Male","12th grade",1.83,113.4,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"139","17 years old","Female","12th grade",1.65,61.24,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"140","18 years old or older","Female","12th grade",1.65,47.63,"Slightly underweight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"141","17 years old","Female","12th grade",1.7,56.7,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"142","14 years old","Female","9th grade",1.6,72.58,"Slightly overweight","Lose weight","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"143","15 years old","Male","9th grade",1.7,81.19,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"144","16 years old","Male","9th grade",1.75,56.7,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"145","15 years old","Male","9th grade",1.88,106.6,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"146","14 years old","Female","9th grade",NA,NA,"About the right weight","Stay the same weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"147","17 years old","Female","12th grade",1.6,48.99,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"148","18 years old or older","Male","12th grade",1.85,65.77,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"149","14 years old","Female","9th grade",1.65,83.92,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Multiple - Non-Hispanic",NA,NA
"150","15 years old","Male","9th grade",1.8,90.72,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"151","15 years old","Male","9th grade",1.78,77.11,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"152","14 years old","Male","9th grade",1.78,80.74,"Slightly overweight","Lose weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"153","14 years old","Male","9th grade",1.85,74.84,"Very overweight","Lose weight","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"154","15 years old","Male","9th grade",1.78,74.39,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"155","17 years old","Male","10th grade",1.78,63.05,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Multiple - Non-Hispanic",NA,NA
"156","15 years old","Female","9th grade",1.52,52.16,"Slightly overweight","Lose weight","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"157","15 years old","Female","9th grade",1.52,48.54,"Very overweight","Lose weight","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"158","15 years old","Female","9th grade",1.88,127.01,"Very overweight","Lose weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"159","15 years old","Female","9th grade",1.68,57.61,"About the right weight","Lose weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"160","16 years old","Male","9th grade",1.83,92.99,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"161","18 years old or older","Female","12th grade",1.7,54.43,"About the right weight","Lose weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"162","17 years old","Male","12th grade",1.73,68.04,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"163","18 years old or older","Female","12th grade",1.63,61.24,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"164","17 years old","Female","12th grade",1.6,50.8,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"165","17 years old","Female","12th grade",1.7,54.43,"Slightly underweight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"166","18 years old or older","Male","12th grade",1.83,86.18,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
